keys,tr,en
MENU_ALTBASLIK,Çölde zıpla — çiçekleri topla,Hop the desert — collect the blooms
MENU_AYARLAR,Ayarlar,Settings
MENU_KREDILER,Krediler,Credits
MENU_CIK,Çık,Quit
MENU_REKOR_YOK,Henüz oynanmadı,Not played yet
MENU_OZET,%d bölüm   ·   toplam %d kez oynandı,%d levels   ·   played %d times
AYAR_BASLIK,Ayarlar,Settings
AYAR_ANA_SES,Ana ses,Master volume
AYAR_EFEKT,Efektler,Sound effects
AYAR_MUZIK,Müzik,Music
AYAR_HASSASIYET,Fare hassasiyeti,Mouse sensitivity
AYAR_TAM_EKRAN,Tam ekran,Fullscreen
AYAR_SARSINTI,Ekran sarsıntısı,Screen shake
AYAR_DIL,Dil / Language,Dil / Language
AYAR_GERI,Geri,Back
DURAKLAT_BASLIK,Duraklatıldı,Paused
DURAKLAT_DEVAM,Devam et,Resume
DURAKLAT_YENIDEN,Bölümü yeniden başlat,Restart level
DURAKLAT_ANA_MENU,Ana menü,Main menu
BITIS_BASLIK,Bölüm tamam,Level complete
BITIS_REKOR,Yeni rekor!,New record!
BITIS_SURE,Süre   %s,Time   %s
BITIS_OLUM,Ölüm   %d     Yenilen düşman   %d,Deaths   %d     Enemies defeated   %d
BITIS_EN_IYI,En iyi   %s,Best   %s
BITIS_TEKRAR,Tekrar oyna,Play again
BITIS_SONRAKI,Sonraki: %s,Next: %s
HUD_DURUM,çiçek %d/%d     süre %.1f sn     ölüm %d,blooms %d/%d     time %.1f s     deaths %d
HUD_CAN,can %d / %d,health %d / %d
HUD_TUSLAR,WASD hareket · Shift koş · Space zıpla · R yeniden · Esc duraklat,WASD move · Shift run · Space jump · R restart · Esc pause
OYUN_KONTROL,Kontrol noktası,Checkpoint
OYUN_OLDUN,Kontrol noktasına döndün,Back to checkpoint
OYUN_EKSIK_CICEK,Önce %d çiçeğin hepsini topla (%d kaldı),Collect all %d blooms first (%d left)
BOLUM1_AD,Kaktüs Parkuru,Cactus Run
BOLUM2_AD,Dikenli Kule,Thorn Tower
BOLUM3_AD,Diken Köprüsü,Thorn Bridge
BOLUM4_AD,Rüzgâr Terası,Wind Terrace
BOLUM5_AD,Kaya Bahçesi,Rock Garden
BOLUM6_AD,Son Tırmanış,Last Climb
KREDILER_BASLIK,Krediler,Credits
DOKUNMA_ZIPLA,ZIPLA,JUMP
DOKUNMA_KOS,KOŞ,RUN
DOKUNMA_DURAKLAT,II,II
HUD_TUSLAR_DOKUNMA,Sol: hareket · Sağ: kamera · ZIPLA · KOŞ,Left: move · Right: camera · JUMP · RUN
HUD_HAYALET,hayalet,ghost
HUD_PAR,par turu,par run
MENU_YARIS,Yarış (ağ),Race (network)
AG_BASLIK,Yarış lobisi,Race lobby
AG_AD,Oyuncu adı,Player name
AG_BARINDIR,Barındır,Host
AG_ADRES,Sunucu adresi,Server address
AG_KATIL,Katıl,Join
AG_BASLAT,Yarışı başlat,Start race
AG_AYRIL,Bağlantıyı kes,Disconnect
AG_BAGLI_DEGIL,Bağlı değilsiniz,Not connected
AG_HAZIR,Hazır,Ready
MENU_DEMO,Demo sürümü — ilk bölüm,Demo version — first level
DEMO_BITTI,Demo burada bitiyor. Tam sürümde ikinci bölüm ve ağ yarışı var.,The demo ends here. The full game adds a second level and network racing.
DEMO_MAGAZA,Dilek listesine ekle,Add to wishlist
AYAR_TELEMETRI,Anonim oynanış verisi gönder,Send anonymous gameplay data
AYAR_TELEMETRI_IPUCU,Bölüm süresi ve nerede takıldığın gönderilir. Ad ve kimlik gönderilmez; oturum numarası her açılışta değişir.,Level times and where you got stuck are sent. No name or identity; the session id changes every launch.
AYAR_TUSLAR,Tuş atama,Key bindings
TUS_BASLIK,Tuş atama,Key bindings
TUS_ACIKLAMA,Bir satıra tıkla ve yeni tuşa bas. Ok tuşları ile oyun kolu her zaman çalışır; Esc vazgeçer.,Click a row then press the new key. Arrow keys and gamepad always work; Esc cancels.
TUS_BEKLENIYOR,… tuşa bas,… press a key
TUS_IPUCU,Yeni tuşa bas — Esc vazgeçer.,Press the new key — Esc cancels.
TUS_CAKISMA,%s zaten "%s" eyleminde kullanılıyor.,%s is already used by "%s".
TUS_VARSAYILAN,Varsayılana dön,Reset to defaults
EYLEM_ILERI,İleri,Forward
EYLEM_GERI,Geri,Back
EYLEM_SOL,Sola,Left
EYLEM_SAG,Sağa,Right
EYLEM_ZIPLAMA,Zıpla,Jump
EYLEM_KOSMA,Koş,Run
EYLEM_DURAKLAT,Duraklat,Pause
EYLEM_YENIDEN,Baştan başla,Restart
